id,Hour0,Hour1,Hour2,Hour3,Hour4,Hour5,Hour6,Hour7,Hour8,Hour9,Hour10,Hour11,Hour12,Hour13,Hour14,Hour15,Hour16,Hour17,Hour18,Hour19,Hour20,Hour21,Hour22,Hour23,Hour24,Hour25,Hour26,Hour27,Hour28,Hour29,Hour30,Hour31,Hour32,Hour33,Hour34,Hour35,Hour36,Hour37,Hour38,Hour39,Hour40,Hour41,Hour42,Hour43,Hour44,Hour45,Hour46,Hour47,Hour48,Hour49,Hour50,Hour51,Hour52,Hour53,Hour54,HourTotal
6011,6,5,7,11,5,6,,2,,,,,,,,,,,,,,1,14,30,41,31,23,7,,,,,,,,,,,,,,,,,2,5,23,10,22,21,6,10,12,,,300
6013,7,6,22,33,8,9,4,2208,,1,,1,,,,1,,,3,,17,32,17,4,10,,1,,39,25,1,1119,,1,,,,,,,,,,,,,2,,2,,6,66,96,89,1,3831
6017,,,1,1,,,,,,,,,,,,,,,,,,,1,,,2,,4,5,5,,3,,,,,,,,,,,,,,,,,,,,1,1,,,24
6019,21,59,117,104,130,162,102,1042,,,,,,,,,,,1,1,134,4322,4697,626,59,11,117,102,98,53,45,961,,,,,,,,,,,,,,,15,156,152,1268,2924,1839,886,953,95,21252
6021,4,15,6,19,2,3,,,,,,,,,,,,,,,,2,21,22,33,51,17,2,,,,,,,,,,,,,,,,1,,2,5,10,21,23,12,19,9,,,299
6023,,1,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
6025,,,,6,7,10,10,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,2,8,,,,,,,45
6027,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
6029,115,140,339,332,233,197,152,882,,,,,,,,1,,,,7,98,116,81,182,440,325,450,275,147,137,89,866,,,,,,,,1,,,,,,,37,314,389,210,320,425,463,442,85,8290
6031,8,44,36,6,22,21,40,38,,,,,,,,,,,,,43,43,29,35,57,17,15,9,20,34,9,16,,,,,,,,,,,,,,,5,42,40,12,25,35,38,48,44,831
6033,18,19,45,81,24,11,,19,,,,,,,,,,,,,,8,59,99,91,121,91,29,,,,,,,,,,,,,,,,,3,6,26,33,85,102,36,47,33,3,,1089
6037,135,184,176,224,912,1946,1251,5276,5,36,19,8,1,28,1,12,,3,7,8,1234,1800,252,462,460,446,368,215,282,197,16,3610,20,23,5,1,40,,2,4,,,1,50,151,116,126,267,495,943,1025,1291,3017,2586,37,29774
6039,,1,,,,,,8,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,13
